Transaction ID,Date,Year,Month,MonthName,Customer ID,Gender,Age,Age Band,Product Category,Quantity,Price per Unit,Total Amount
180,2023-01-01,2023,1,January,CUST180,Male,41,35-49,Clothing,3,300,900
522,2023-01-01,2023,1,January,CUST522,Male,46,35-49,Beauty,3,500,1500
559,2023-01-01,2023,1,January,CUST559,Female,40,35-49,Clothing,4,300,1200
163,2023-01-02,2023,1,January,CUST163,Female,64,50-64,Clothing,3,50,150
303,2023-01-02,2023,1,January,CUST303,Male,19,18-24,Electronics,3,30,90
421,2023-01-02,2023,1,January,CUST421,Female,37,35-49,Clothing,3,500,1500
979,2023-01-02,2023,1,January,CUST979,Female,19,18-24,Beauty,1,25,25
610,2023-01-03,2023,1,January,CUST610,Female,26,25-34,Beauty,2,300,600
32,2023-01-04,2023,1,January,CUST032,Male,30,25-34,Beauty,3,30,90
231,2023-01-04,2023,1,January,CUST231,Female,23,18-24,Clothing,3,50,150
683,2023-01-04,2023,1,January,CUST683,Male,38,35-49,Beauty,2,500,1000
367,2023-01-05,2023,1,January,CUST367,Female,57,50-64,Electronics,1,50,50
391,2023-01-05,2023,1,January,CUST391,Male,19,18-24,Beauty,2,25,50
432,2023-01-05,2023,1,January,CUST432,Female,60,50-64,Electronics,2,500,1000
150,2023-01-06,2023,1,January,CUST150,Female,58,50-64,Electronics,4,30,120
845,2023-01-06,2023,1,January,CUST845,Male,54,50-64,Clothing,1,500,500
797,2023-01-07,2023,1,January,CUST797,Male,40,35-49,Clothing,3,25,75
921,2023-01-07,2023,1,January,CUST921,Male,51,50-64,Electronics,3,25,75
291,2023-01-08,2023,1,January,CUST291,Male,60,50-64,Clothing,2,300,600
907,2023-01-08,2023,1,January,CUST907,Female,45,35-49,Electronics,1,25,25
860,2023-01-09,2023,1,January,CUST860,Male,63,50-64,Clothing,4,50,200
184,2023-01-10,2023,1,January,CUST184,Male,31,25-34,Electronics,4,50,200
734,2023-01-10,2023,1,January,CUST734,Female,27,25-34,Clothing,1,30,30
225,2023-01-11,2023,1,January,CUST225,Female,57,50-64,Beauty,4,25,100
679,2023-01-11,2023,1,January,CUST679,Female,18,18-24,Beauty,3,30,90
746,2023-01-11,2023,1,January,CUST746,Female,33,25-34,Clothing,3,30,90
3,2023-01-13,2023,1,January,CUST003,Male,50,50-64,Electronics,1,30,30
464,2023-01-13,2023,1,January,CUST464,Male,38,35-49,Electronics,2,300,600
484,2023-01-13,2023,1,January,CUST484,Female,19,18-24,Clothing,4,300,1200
591,2023-01-13,2023,1,January,CUST591,Male,53,50-64,Electronics,4,25,100
21,2023-01-14,2023,1,January,CUST021,Female,50,50-64,Beauty,1,500,500
708,2023-01-14,2023,1,January,CUST708,Female,43,35-49,Beauty,3,300,900
713,2023-01-14,2023,1,January,CUST713,Male,34,25-34,Beauty,3,25,75
768,2023-01-14,2023,1,January,CUST768,Female,24,18-24,Beauty,3,25,75
499,2023-01-15,2023,1,January,CUST499,Male,46,35-49,Beauty,2,30,60
697,2023-01-15,2023,1,January,CUST697,Male,53,50-64,Clothing,1,500,500
831,2023-01-15,2023,1,January,CUST831,Male,27,25-34,Electronics,4,25,100
15,2023-01-16,2023,1,January,CUST015,Female,42,35-49,Electronics,4,500,2000
743,2023-01-16,2023,1,January,CUST743,Female,34,25-34,Beauty,4,500,2000
